resale_price_in_2021,predicted_price,town,block,street_name,storey_range,floor_area_sqm,flat_type,flat_model,lease_commence_date,remaining_lease,datetime
233000.0,201131.21875,ANG MO KIO,406,ANG MO KIO AVE 10,04 TO 06,44.0,2 ROOM,Improved,1979,53,2025-09-01
330000.0,271170.1875,BEDOK,126,BEDOK NTH ST 2,07 TO 09,67.0,3 ROOM,New Generation,1978,52,2025-09-01
520000.0,477625.8125,BISHAN,109,BISHAN ST 12,07 TO 09,84.0,4 ROOM,Simplified,1985,59,2025-09-01
340000.0,294561.9375,BUKIT BATOK,513,BT BATOK ST 52,01 TO 03,84.0,4 ROOM,Simplified,1987,61,2025-09-01
325000.0,251294.421875,GEYLANG,97,ALJUNIED CRES,07 TO 09,65.0,3 ROOM,Improved,1975,49,2025-09-01
650000.0,648431.0,HOUGANG,449,HOUGANG AVE 10,01 TO 03,148.0,EXECUTIVE,Maisonette,1991,65,2025-09-01
430000.0,381470.40625,PASIR RIS,115,PASIR RIS ST 11,01 TO 03,106.0,4 ROOM,Model A,1989,63,2025-09-01
440000.0,414292.34375,PUNGGOL,188,PUNGGOL CTRL,01 TO 03,110.0,5 ROOM,Premium Apartment,2004,78,2025-09-01
768000.0,713653.8125,TAMPINES,860,TAMPINES AVE 5,04 TO 06,146.0,EXECUTIVE,Maisonette,1987,61,2025-09-01
